runt_code,name
0,SIN MARCA
1,CHEVROLET
2,DAEWOO
3,FIAT
5,KIA
6,MAZDA
8,RENAULT
9,VOLKSWAGEN
10,DODGE
11,SIMCA
12,PLYMOUTH
13,OLDSMOBILE
14,LANCIA
15,NISSAN
16,PEUGEOT
17,SUBARU
18,DATSUN
19,BUICK
20,CADILLAC
21,HONDA
22,BRONCO
23,MITSUBISHI
24,PONTIAC
25,TOYOTA
26,VOLVO
27,ALFA ROMEO
28,BMW
29,FERRARI
30,MERCEDES BENZ
32,ROLLS ROYCE
33,JAGUAR
34,DACIA
35,LADA
36,OLTCIT
37,TAVRIA
39,VOLGA
40,SKODA
41,CITROEN
42,DAIHATSU
44,GAZ
45,UAZ
46,ARO
47,MERCURY
48,OPEL
49,ISUZU
50,JEEP
51,LAND ROVER
52,SUZUKI
53,CHRYSLER
54,FORD
56,YAMAHA
57,KAWASAKI
60,HARLEY DAVIDSON
61,AUTECO
62,INTERNATIONAL
63,ASIA MOTOR
64,MACK
65,CAGIVA
66,WILLYS
67,KENWORTH
68,IVECO
69,LAMBRETA
71,MINSK
72,HERO
73,AUSTIN
74,AUTOCAR
75,DESOTO
76,HINO
83,DINA
84,GEO
85,DELTA
86,HYOSUNG
89,HUSQVARNA
91,GMC
95,VIASA
97,KUBOTA
101,TAM
104,BELARUS
108,JIALING
110,ZASTAVA
112,HUALI
113,MONTESA
114,FARGO
115,ROVER
118,CORCEL
119,KAMAZ
120,PUCH
121,EBRO
123,JINCHENG
125,NASH
126,WARTBURG
127,MORRIS
128,RAMBLER
129,WILLCO
130,QJIANG
135,SISU
136,SEAT
138,ABARTH
139,AUDI
142,ASTON MARTIN
143,AUTO UNION
144,AVIA
146,CHECKER
148,BROCK WAY
149,BORG WARD
150,BENTLEY
151,BUSSING
153,BEDFORD
154,BERLIET
156,BARREIROS
158,COMMER
163,DKW
165,EDSEL
167,FORDSON
169,FREIGHTLINER
171,FAUN
175,HOHOLDEN
176,HILLMAN
178,HUDSON
179,IFA
181,ISO
184,KIAMASTER
185,LAMBORGHINI
188,LOTUS
190,MAN
191,MAGIRUS DEUTZ
192,MOSKOVICH
195,MURAVEY
196,NECKAR
198,PACKARD
200,F.S.O.
201,ALEKO
202,AMERICAN MOTOR
204,ROA
205,BEIJING
206,DERBY
207,HENRY J
208,HYUNDAI
209,JAWA
210,LEXUS
212,MINICORD
213,PEGASSO
214,PORSCHE
215,REO
216,SCANIA
217,SSANGYONG
218,STUDEBAKER
219,TRIUMPH
220,WARZAMA
221,PIAGGIO
222,COLMOVE
223,DAELIM
224,JIANSHE
225,YUGO
226,HUMMER
227,KTM
228,BAJAJ
229,POLONEZ
230,BEISUTE
231,XINGFU
232,AGRALE
233,PETERBILT
234,DUCATI
235,MG
236,RAF
237,SPARTAN
238,PRINCE
239,KINETIC
240,BOMBARDIER
241,INFINITI
242,DAYANG
243,ZUMY
244,VAUSHALL
245,VESPA
246,B.S.A
247,NORTON
248,ITALJET
249,VOSKHOD
250,INDIAN
251,GILERA
252,MAHINDRA
253,BABETA
254,BULTACO
255,BOCXOD
256,CARABELLA
257,MOTOGUZZI
258,PACER
259,PANNONIA
260,PANHARD
261,RONART
262,SAMSUNG
263,SANGLAS
264,SUMBEAM
265,SINGER
